"#Spell Number","Spell Name","Type: 255 Enemies, 2 Spells, 1 Skills, 0 Systems","Consumption","Card Description",,,,,,,,,
,,,,,0,1,104,1,108,1,0,0,17
,,,,,0,1,105,1,109,1,204,2,17
,,,,,0,1,106,1,110,1,0,0,17
,,,,,0,1,107,1,111,1,0,0,17
,,,,,1,1,206,2,0,0,0,0,17
,,,,,1,1,0,0,0,0,0,0,17
,,,,,1,1,208,4,0,0,0,0,17
,,,,,1,1,202,2,0,0,0,0,17
,,,,,1,1,0,0,0,0,0,0,17
,,,,,1,1,211,3,0,0,0,0,17
,,,,,1,1,207,3,0,0,0,0,17
,,,,,1,1,200,2,0,0,0,0,17
,,,,,0,2,201,4,0,0,0,0,17
,,,,,0,4,0,0,0,0,0,0,17
,,,,,0,2,203,4,0,0,0,0,17
,,,,,1,4,0,0,0,0,0,0,17
,,,,,0,2,205,5,0,0,0,0,17
,,,,,1,5,0,0,0,0,0,0,17
,,,,,1,2,0,0,0,0,0,0,17
,,,,,1,3,0,0,0,0,0,0,17
,,,,,0,4,0,0,0,0,0,0,17
,,,,,0,1,0,0,0,0,0,0,17
,,,,,0,1,0,0,0,0,0,0,17
,,,,,1,3,0,0,0,0,0,0,17
,,,,,0,1,0,0,0,0,0,0,17
,,,,,0,1,0,0,0,0,0,0,17
,,,,,0,1,0,0,0,0,0,0,17
,,,,,1,1,0,0,0,0,0,0,17
,,,,,1,1,0,0,0,0,0,0,17
