"#Spell Number","Spell Name","Type: 255 Enemies, 2 Spells, 1 Skills, 0 Systems","Consumption","Card Description",,,,,,,,,,sort
100,"Tiro de Estalactite",1,0,"Cria estalactites e atira em direção ao inimigo. Eles são fracos, mas segurar o botão irá criar mais deles. A velocidade do ataque é alta, bom para pressionar o inimigo.",0,1,104,1,108,1,200,2,16,100
101,"Homem de Neve em Pleno Verão",1,1,"Rola uma bola de gelo. A bola continua a crescer, e avança sobre o inimigo. Conta como ataque físico durante a rolagem.",0,1,105,1,109,1,0,0,16,120
102,"Pequeno Icebergue",1,4,"Forma cubos de gelo sobre a cabeça e arremessa no inimigo. Ela pode apenas criá-los apartir de suas mãos, então é difícil para ela usar durante o vôo.",0,1,106,1,110,1,0,0,16,140
103,"Me Toque e Congele",1,2,"Baixa sua própria temperatura corporal, congelando o ar ao redor dela. Ouse tocá-la.",0,1,107,1,111,1,205,2,16,110
104,"Pilares Congelados",1,0,"Injeta uma grande quantidade de ar gelado nos seus pés e cria grandes pilares de gelo que empurram o oponente para o céu. Um subproduto de seus sapos congelados.",1,1,201,4,0,0,0,0,16,101
105,"Investida de Gelo",1,1,"Cobre a sí mesmo com gelo e investe no inimigo. Uma habilidade rápida e decente.",1,1,207,3,0,0,0,0,16,121
106,"Bomba de Estalactite",1,4,"Atira um bloco de gelo instável. O bloco se aproxima do oponente e se despedaça. Se acertar faz um som prazeroso.",1,1,202,3,0,0,0,0,16,141
107,"Lança de Estalactite",1,2,"Cria pilares congelados nos seus pés e os atira ao céu como projéteis. Os pilares podem acertar mesmo enquanto estão sendo formados. Útil não somente como anti aéreo, mas também a curta distância.",1,1,0,0,0,0,0,0,16,111
108,"Luz Congelante",1,0,"Atira feixes congelantes em três direções. Um bom e estável golpe genérico, nascido da simples ideia de que ""Três é melhor que um.""",1,1,213,3,0,0,0,0,16,102
109,"Chute de Gelo",1,1,"Avança com um chute voador giratório enquanto gera gelo ao redor. Não há necessidade de ser um chute giratório, mas ela acha que é legal.",1,1,203,2,0,0,0,0,16,122
110,"Técnica Congelante",1,4,"Atira uma onda de frio à curta distância e congela o inimigo. É inútil defender este golpe, se o golpe é esquivado a Cirno fica indefesa.",1,1,210,2,0,0,0,0,16,142
111,"Espada Estalactite",1,2,"Cria uma arma de gelo e a usa para perfurar o inimigo. Há poucas armas que ela pode criar com o gelo, mas como ela não sabe usá-los, elas são inúteis.",1,1,207,3,0,0,0,0,16,112
200,"Sinal de Gelo \"Metralhadora de Estalactite\"",2,2,"Rapidamente atira estalactites das mãos. Elas são rápidas e tem bom alcance, mas são ruins em cancelar projéteis inimigos, então há chance que a Cirno seja atigida por ataques de longa distância.",0,2,0,0,0,0,0,0,16,210
201,"Sinal Congelante \"Colunas Congeladas\"",2,4,"Congela todo o solo em um instante e para o inimigo. Não é um golpe poderoso, portanto é necessário combar. Use quando for importunado.",0,4,0,0,0,0,0,0,16,230
202,"Cubos de Gelo \"Borrifador Gelado\"",2,3,"Cria e atira uma onda de cubos de gelo extremamente frios. Os cubos se tornam lanças de gelo e cortam o inimigo. É mais difícil para ela evitar seu próprio ataque do que usá-lo.",0,3,0,0,0,0,0,0,16,220
203,"Corpo Gelado \"Super Chute de Gelo\"",2,3,"Um chute giratório do paraíso. Quanto mais tempo ele acertar, mais poderoso se torna, mas a Cirno fica tonta por um tempo. Não existe nenhuma razão para ela girar...",1,2,0,0,0,0,0,0,16,221
204,"Sinal Gelado \"Congelamento Perfeito\"",2,5,"Atira bolas de neve em todas as direções. Elas congelam no ar e começam a se mover após um intervalo de tempo.",0,5,0,0,0,0,0,0,16,240
205,"Sinal de Gelo \"Giro da Fada\"",2,2,"Gira e atira estalactites para todas as direções. o poder é mediano, mas o alcance é longo. Um ataque que nasceu do desejo da Cirno de acertar inimigos em muitos lugares.",2,2,206,4,0,0,0,0,16,211
206,"Sopro de Gelo \"Tornado de Gelo\"",2,4,"Gira e cria um grande tornado de gelo. O tornado fica maior com o tempo e expande um uma direção específica. Também tem poucos segundos de invulnerabilidade após este golpe.",1,4,0,0,0,0,0,0,16,231
207,"Sinal de Gelo \"Espada Congelador\"",2,3,"Cria uma espada de gelo e a usa para perfurar o inimigo. É difícil para ela criar estalactites com a forma que ela quer, mas isto é provavelmente por causa que ela é idiota...",1,3,208,4,0,0,0,0,16,222
208,"Cubos de Gelo \"Grande Esmagador\"",2,5,"Bate no oponente com um grande bloco de gelo. Ele é poderoso, tem um grande área e não pode ser bloqueado no ar. Ela queria algo que fosse duro, e foi esta a solução que encontrou.",0,4,0,0,0,0,0,0,16,241
210,"Sinal Congelado \"Congelar Atmosfera\"",2,3,"Ataca com partículas congeladas geradas por baixas temperaturas. Elas somente causam dano nesta temperatura, mas é irritante tê-las grudadas em você, então você foge delas.",0,2,204,5,0,0,0,0,16,223
213,"Sinal Gelado \"Laser Insta-Congelante\"",2,3,"Atira um poderoso feixe congelante em três direções. Ele seria mais poderoso se tivesse mais feixes, mas quatro é demais pra ela, então os feixes duram mais para compensar. Ela só consegue contar até três?",0,3,0,0,0,0,0,0,16,224
