#filename,songname
"data/bgm/op2.ogg",<key csv.music.op2.name>
"data/bgm/select.ogg",<key csv.music.select.name>
"data/bgm/ta20.ogg",<key csv.music.ta20.name>
"data/bgm/ta21.ogg",<key csv.music.ta21.name>
"data/bgm/ta22.ogg",<key csv.music.ta22.name>
"data/bgm/sr2.ogg",<key csv.music.sr2.name>
"data/bgm/st30.ogg",<key csv.music.st30.name>
"data/bgm/st31.ogg",<key csv.music.st31.name>
"data/bgm/st32.ogg",<key csv.music.st32.name>
"data/bgm/st33.ogg",<key csv.music.st33.name>
"data/bgm/st34.ogg",<key csv.music.st34.name>
"data/bgm/st35.ogg",<key csv.music.st35.name>
"data/bgm/st36.ogg",<key csv.music.st36.name>
"data/bgm/st40.ogg",<key csv.music.st40.name>
"data/bgm/st41.ogg",<key csv.music.st41.name>
"data/bgm/st42.ogg",<key csv.music.st42.name>
"data/bgm/st43.ogg",<key csv.music.st43.name>
"data/bgm/op.ogg",<key csv.music.op.name>
"data/bgm/ta00.ogg",<key csv.music.ta00.name>
"data/bgm/st00.ogg",<key csv.music.st00.name>
"data/bgm/ta01.ogg",<key csv.music.ta01.name>
"data/bgm/ta03.ogg",<key csv.music.ta03.name>
"data/bgm/st01.ogg",<key csv.music.st01.name>
"data/bgm/st02.ogg",<key csv.music.st02.name>
"data/bgm/ta05.ogg",<key csv.music.ta05.name>
"data/bgm/ta08.ogg",<key csv.music.ta08.name>
"data/bgm/st03.ogg",<key csv.music.st03.name>
"data/bgm/ta04.ogg",<key csv.music.ta04.name>
"data/bgm/ta02.ogg",<key csv.music.ta02.name>
"data/bgm/st04.ogg",<key csv.music.st04.name>
"data/bgm/ta07.ogg",<key csv.music.ta07.name>
"data/bgm/st05.ogg",<key csv.music.st05.name>
"data/bgm/st06.ogg",<key csv.music.st06.name>
"data/bgm/ta06.ogg",<key csv.music.ta06.name>
"data/bgm/sr.ogg",<key csv.music.sr.name>
"data/bgm/st10.ogg",<key csv.music.st10.name>
"data/bgm/st11.ogg",<key csv.music.st11.name>
"data/bgm/st12.ogg",<key csv.music.st12.name>
"data/bgm/st13.ogg",<key csv.music.st13.name>
"data/bgm/st14.ogg",<key csv.music.st14.name>
"data/bgm/st15.ogg",<key csv.music.st15.name>
"data/bgm/st16.ogg",<key csv.music.st16.name>
"data/bgm/st17.ogg",<key csv.music.st17.name>
"data/bgm/st18.ogg",<key csv.music.st18.name>
"data/bgm/st19.ogg",<key csv.music.st19.name>
"data/bgm/st20.ogg",<key csv.music.st20.name>
"data/bgm/st21.ogg",<key csv.music.st21.name>
"data/bgm/st22.ogg",<key csv.music.st22.name>
