100,"火山间歇泉","创造出一个小间歇泉。它能达到很高的高度并且速度很快，可以用来抓住对手破绽。此外也可以空中使用。"
101,"爆炎蹴","威力极其可怕的一蹴。这一招也同时会伤到使用者，但妹红会极短地进入防御姿态一段时间来避免承受其他伤害。"
102,"浴火重生","转变为一颗卵治疗自己。在这期间妹红都处于无敌状态。只能在空中使用。"
103,"火鸟呼唤","唤来一群火鸟。然而火鸟们的攻击并不协同，所以整体而言威力较低。"
104,"不死鸟之尾","散出几只飞过场地的火鸟。火鸟本身没有伤害，但它们会留下火焰航跡。"
105,"不死鸟突刺","在冲刺状态中进行攻击。允许连续按键进行多次攻击，而且毎一次攻击的方向都可改变。"
106,"大地践踏","快速下落的一记重踏。在妹红着陆时会产生熔岩球吹开附近的东西。不同按键可以调整攻击方式。同样也是空中限定。"
107,"火鸟召唤","召唤一只大型火鸟。这只火鸟可以被某些动作控制，但在地、空切换时会消失。"
108,"不死鸟羽击","向前发射不死鸟之羽。虽然发射前不会锁定目标，但是这些羽毛能覆盖很大一块区域。"
109,"不死鸟重拳","向前跳跃并重锤对手。快速而强力的一击。"
110,"猎鹰之跃","用力踏向敌人。可以在某种程度上操作跳跃的轨道，并且按住对应的键还能派生出追加攻击。"
111,"火山喷发","将一组火山烈炎送入地面。妹红可以在任意时刻使之爆发。"
200,"烈炎「燃烧的小行星」","召唤一颗需要一点时间落地的小行星。如果不去回避的话受到的伤害会很高。你什么时候产生了它真的是颗小行星的错觉？"
201,"「富士火山」","将对手击向空中后再带着对手撞入地面，同时在正下方创造出一场大型火山喷发。由于妹红是不死身，所以站在正中也没问题。"
202,"烈炎「火山喷发之景」","呼唤一场火山风暴。风暴中的劲风将把对手吹向墙角并压制住对手一段时间。"
203,"「不死鸟重生」","空中限定技。妹红转变为一颗卵以治疗自己，在她复苏时将出现一个火焰龙卷进行攻击。"
205,"烈炎「不死鸟之拳」","向对手挥出强大的火炎之拳。之后这一拳将留下一个火球攻击对手。"
206,"「不死鸟附身」","冲撞敌人并将不死鸟附于其上，然后接上一连串的攻击。交替左右按键可调整高度，在与对手高度一致时威力上升。."
207,"爆炎「翔空不死鸟」","展开一对火炎之翼。这对翅膀会提升妹红的速度，但是翅膀本身并没有什么特殊能力。"
208,"不死「火鸟战吼」","放出大群火鸟。正如必杀技版本一样，火鸟们仍然难以控制，但是数量上的优势导致了质变，应对它们的难度明显上升了。"
211,"不死「火鸟 -凤翼天翔-」","召唤一个可由妹红的动作间接控制的凤凰状的飞行物。这可是凤凰呀，怎么可能被击破？"
212,"爆炎「不死鸟冲击」","极其有力的一蹴。然而由于这一招的威力巨大，它是一把双刃剑，也会对使用者造成巨大的伤害。"
