100,"Traces of Ego and Id","发射两种颜色的弹幕。它绝对没有名字所暗示的那么复杂。可在空中使用。"
101,"Focused yet Tangled","从手臂上长出像长矛一样缠绕的藤蔓。这是一种用途广泛的攻击，攻击范围相当大，而且使用起来相当简单。"
102,"致幻弹幕","发射具有催眠效果的弹幕。无论对手是受到攻击还是擦弹，觉都能够更深入地挖掘他们的记忆，找到正确的符卡来对付他们。可在空中使用。"
103,"读心术","使用时，可以在短时间内读懂对手的想法。它专为弹幕战的快速要求而设计。"
104,"因果万花筒","在面前放置一面水晶。当水晶受到对手的弹幕攻击时，就会向对手发射激光。其实并不是因果报应，她单纯只是想攻击。可在空中使用。"
105,"地下藤蔓","从生长有刺玫瑰的土地上长出藤蔓。虽然动作缓慢，但似乎是一种防御措施。"
106,"恐惧情景","放出催眠灯光。当对手处于催眠灯光下时，他们会持续表现出对觉找到并使用正确的符卡时的恐惧。"
108,"逃避心灵","发射弹幕时向后跳跃。觉一边攻击一边闪避并不断移动的招式。可在空中使用。"
109,"藤蔓陷阱","种下一丛藤蔓，陷阱会停留一段时间。藤蔓会攻击那些试图飞越的人。"
110,"强迫催眠","抓住对手并对其进行近距离催眠。然后觉能够读懂他们的想法并找出适合与他们战斗的符卡。B版是可防御体术，C版是投技。"
111,"终极理解","使用后，暂时进入躲闪状态。当正确防御攻击时，觉会立即逃离困境。B版向后，C版向前。"
200,"「恐怖的回忆」","向对手放出催眠灯光。这使得觉能够立即获得四张卡片以挑选出对手恐惧的符卡。"
201,"想起「黄泉平坂之行路」","西行寺幽幽子的符卡。从手中发出幽灵状弹幕的简单攻击。那些可不是真的幽灵。"
202,"想起「Master Spark」","雾雨魔理沙的符卡。所幸复制这张符卡的招数不需要特定的装备。"
203,"想起「华胥的永眠」","西行寺幽幽子的符卡。启动无敌且迅速，发射呈圆形阵型的蝶弹，有利于防御。"
204,"「恐怖催眠术」","在整个场上放出催眠灯光，带出对手最深的恐惧。实际上她正在重置她的卡组回到最初的状态。"
205,"想起「神枪冈格尼尔」","蕾米莉亚·斯卡雷特的符卡。强大的光环神枪，速度也快如光速，即使在很远的距离也能瞬间将敌人贯穿。"
206,"想起「矿山爆破」","姬虫百百世的符卡。扔出一些定时炸弹，这些炸弹在卡在墙上一段时间后会爆炸。破坏环境恐怕不太好吧…"
207,"想起「龙宫使的游泳弹」","永江衣玖的符卡。放出螺旋状的电流弹幕，威力巨大范围也很广，即使防御住也会被其威力所伤。"
208,"想起「皇家烈焰(Royal Flare)」","帕秋莉·诺蕾姬的符卡。需要一段时间准备，生成小型太阳以光芒烧尽一切。"
209,"想起「金阁寺的整块天花板」","蓬莱山辉夜的符卡。发动极其缓慢且极易被打断，但是它具有极大的力量而且一旦发动成功就无法闪避。"
210,"想起「超高密度燐火术」","伊吹萃香的符卡。震撼大地，从地面喷出熔岩弹。熔岩弹将数次弹地并分裂飞散，将广范围内一切都燃烧殆尽。"
211,"想起「大洪水」","村纱水蜜的符卡。 践踏地面，(不会)从地面抽水，引发洪水并向上喷射。这是一个快速的攻击，而且可以掩护身后。"
212,"「地下花园」","迅速长出大量带刺的藤蔓和玫瑰。它们会在一段时间后枯萎，期间能很大程度上限制对手的行动。"
219,"想起「九字刺印」","东风谷早苗的符卡。在场上生成巨大格状结界，极大限制对手空间的符卡，不过需要时间来设置。"
220,"想起「幻陇月睨(Lunatic Red Eyes)」","铃仙·优昙华院·因幡的符卡。原本那是令人疯狂的波长漩涡，但这张复制符卡只是普通的弹幕攻击，带有一点催眠和幻术。"
221,"想起「阿波罗捏造说」","克劳恩皮斯的符卡。这并不是一张复制起来非常复杂的符卡。当然，它们并不是真的卫星。"
222,"想起「Evil Zone」","魅魔的符卡。进行一次全场范围的攻击，所以对手是无路可逃的。"
223,"想起「核热护盾」","灵乌路空的符卡。在前方产生强力的屏障。复制起来似乎并不费什么力气。"
224,"想起「雷云棘鱼」","永江衣玖的符卡。让身体周围充满电流，是一种集攻防为一体的有力技能。"
225,"想起「客观结界」","八云紫的符卡。发射沿画面边缘游走，从各个边角开始攻击的黄色结界，削减对手活动区域。"
226,"想起「梦想妙珠」","博丽灵梦的符卡。即使是招牌技的弱化版，也依然可圈可点。"
227,"想起「秋日之瀑」","犬走椛的符卡。它好像不会搞湿东西，所以大概不是真正的水。"
228,"想起「崩坏人偶」","芙兰朵露·斯卡雷特的符卡。吸血鬼的能力是无法复制的，所以这只是一个模仿的弹幕攻击。"
229,"想起「Flower Spark」","风见幽香的符卡。召唤一朵花，在一段时间后发射激光攻击。这朵花会跟随着她，所以对防御非常有利。"
