0,"나마즈「자 자，세계가 흔들린다구?」",255,3500,,3600,
1,"나마즈「자 자，세계가 흔들린다구?」",255,4000,,3600,
2,"나마즈「자 자，세계가 흔들린다구?」",255,4500,,3600,
3,"나마즈「자 자，세계가 흔들린다구?」",255,5000,,3600,
4,"나마즈「액상화현상으로 대지도 진흙이나 마찬가지다!」",255,3500,,3600,
5,"나마즈「액상화현상으로 대지도 진흙이나 마찬가지다!」",255,4000,,3600,
6,"나마즈「액상화현상으로 대지도 진흙이나 마찬가지다!」",255,4500,,3600,
7,"나마즈「액상화현상으로 대지도 진흙이나 마찬가지다!」",255,5000,,3600,
8,"나마즈「발전도 노력할 거다?」",255,3500,,3600,
9,"나마즈「발전도 노력할 거다?」",255,4000,,3600,
10,"나마즈「발전도 노력할 거다?」",255,4500,,3600,
11,"나마즈「발전도 노력할 거다?」",255,5000,,3600,
12,"나마즈「올 전기화로 에콜로지다!」",255,3500,,3600,
13,"나마즈「올 전기화로 에콜로지다!」",255,4000,,3600,
14,"나마즈「올 전기화로 에콜로지다!」",255,4500,,3600,
15,"나마즈「올 전기화로 에콜로지다!」",255,5000,,3600,
16,"오오나마즈「이것으로 속세도 끝장인 게야!!」",255,3500,,0,
17,"오오나마즈「이것으로 속세도 끝장인 게야!!」",255,4000,,0,
18,"오오나마즈「이것으로 속세도 끝장인 게야!!」",255,4500,,0,
19,"오오나마즈「이것으로 속세도 끝장인 게야!!」",255,5000,,0,
248,"003 EASY",255,5000,,3600,
249,"003 NORMAL",255,5500,,3600,
250,"003 HARD",255,6000,,3600,
251,"003 LUNATIC",255,6500,,3600,
252,"004 EASY",255,7000,,3600,
253,"004 NORMAL",255,8000,,3600,
254,"004 HARD",255,9000,,3600,
255,"004 LUNATIC",255,10000,,3600,
