"data/bgm/op2.ogg","그대는 그 그림자를 보았는가"
"data/bgm/select.ogg","췌몽상"
"data/bgm/ta00.ogg","일상좌와"
"data/bgm/ta01.ogg","갑론을박"
"data/bgm/ta03.ogg","풍광명미"
"data/bgm/ta05.ogg","이어구승"
"data/bgm/ta04.ogg","냉음한취"
"data/bgm/ta06.ogg","모색창연"
"data/bgm/ta20.ogg","전설의 거신"
"data/bgm/ta21.ogg","우리들의 비상천칙"
"data/bgm/ta22.ogg","인형이 있는 풍경"
"data/bgm/sr2.ogg","유구의 증기기관"
"data/bgm/st30.ogg","신앙은 덧없는 인간을 위해"
"data/bgm/st31.ogg","말괄량이 아가씨"
"data/bgm/st32.ogg","상하이홍차관 ~ Chinese Tea"
"data/bgm/st33.ogg","영지의 태양신앙 ~ Nuclear Fusion"
"data/bgm/st34.ogg","어제는 평일, 내일은 휴일"
"data/bgm/st35.ogg","언노운 X ~ Unfound Adventure"
"data/bgm/st36.ogg","하늘로 떠오르는 물체 X"
"data/bgm/st40.ogg","이색연화접 ~ Ancients"
"data/bgm/st41.ogg","사랑색 매직"
"data/bgm/st42.ogg","the Grimoire of Alice"
"data/bgm/st43.ogg","브와르 마법도서관"
