0,"열부「브레이크 프로미넌스」",255,3500,,3600,
1,"열부「브레이크 프로미넌스」",255,4000,,3600,
2,"열부「브레이크 프로미넌스」",255,4500,,3600,
3,"열부「브레이크 프로미넌스」",255,5000,,3600,
4,"핵열「핵반응 제어불능 다이브」",255,3500,,3600,
5,"핵열「핵반응 제어불능 다이브」",255,4000,,3600,
6,"핵열「핵반응 제어불능 다이브」",255,4500,,3600,
7,"핵열「핵반응 제어불능 다이브」",255,5000,,3600,
8,"「핫 주피터 낙하 모델」",255,3500,,3600,
9,"「핫 주피터 낙하 모델」",255,4000,,3600,
10,"「핫 주피터 낙하 모델」",255,4500,,3600,
11,"「핫 주피터 낙하 모델」",255,5000,,3600,
12,"핵열「인공태양의 흑점」",255,3500,,3600,
13,"핵열「인공태양의 흑점」",255,4000,,3600,
14,"핵열「인공태양의 흑점」",255,4500,,3600,
15,"핵열「인공태양의 흑점」",255,5000,,3600,
248,"EASY",255,5000,,3600,
249,"NORMAL",255,5500,,3600,
250,"HARD",255,6000,,3600,
251,"LUNATIC",255,6500,,3600,
252,"EASY",255,7000,,3600,
253,"NORMAL",255,8000,,3600,
254,"HARD",255,9000,,3600,
255,"LUNATIC",255,10000,,3600,
