0,"합장「다이다라봇치 참배」",255,3500,,3600,
1,"합장「다이다라봇치 참배」",255,4000,,3600,
2,"합장「다이다라봇치 참배」",255,4500,,3600,
3,"합장「다이다라봇치 참배」",255,5000,,3600,
4,"신구「모리야의 쇠바퀴」",255,3500,,3600,
5,"신구「모리야의 쇠바퀴」",255,4000,,3600,
6,"신구「모리야의 쇠바퀴」",255,4500,,3600,
7,"신구「모리야의 쇠바퀴」",255,5000,,3600,
8,"「옥열의 간헐천」",255,3500,,3600,
9,"「옥열의 간헐천」",255,4000,,3600,
10,"「옥열의 간헐천」",255,4500,,3600,
11,"「옥열의 간헐천」",255,5000,,3600,
12,"「마그마 양서류」",255,3500,,3600,
13,"「마그마 양서류」",255,4000,,3600,
14,"「마그마 양서류」",255,4500,,3600,
15,"「마그마 양서류」",255,5000,,3600,
16,"「환상향 공중신전」",255,3500,,0,
17,"「환상향 공중신전」",255,4000,,0,
18,"「환상향 공중신전」",255,4500,,0,
19,"「환상향 공중신전」",255,5000,,0,
248,"EASY",255,5000,,3600,
249,"NORMAL",255,5500,,3600,
250,"HARD",255,6000,,3600,
251,"LUNATIC",255,6500,,3600,
252,"EASY",255,7000,,3600,
253,"NORMAL",255,8000,,3600,
254,"HARD",255,9000,,3600,
255,"LUNATIC",255,10000,,3600,
